time,level
2025-02-15 01:21:30,light
2025-02-15 01:21:30,light
2025-02-15 01:22:30,light
2025-02-15 01:22:30,light
2025-02-15 01:23:30,light
2025-02-15 01:23:30,light
2025-02-15 01:24:30,light
2025-02-15 01:24:30,light
2025-02-15 01:25:30,light
2025-02-15 01:25:30,light
2025-02-15 01:27:00,wake
2025-02-15 01:27:00,wake
2025-02-15 01:28:00,wake
2025-02-15 01:28:00,wake
2025-02-15 01:29:00,wake
2025-02-15 01:29:00,wake
2025-02-15 01:30:00,wake
2025-02-15 01:30:00,wake
2025-02-15 01:31:00,wake
2025-02-15 01:31:00,wake
2025-02-15 01:32:00,wake
2025-02-15 01:32:00,wake
2025-02-15 01:33:00,light
2025-02-15 01:33:00,light
2025-02-15 01:34:00,light
2025-02-15 01:34:00,light
2025-02-15 01:35:00,light
2025-02-15 01:35:00,light
2025-02-15 01:36:00,light
2025-02-15 01:36:00,light
2025-02-15 01:37:00,light
2025-02-15 01:37:00,light
2025-02-15 01:38:00,light
2025-02-15 01:38:00,light
2025-02-15 01:39:00,light
2025-02-15 01:39:00,light
2025-02-15 01:40:00,light
2025-02-15 01:40:00,light
2025-02-15 01:41:00,light
2025-02-15 01:41:00,light
2025-02-15 01:42:00,light
2025-02-15 01:42:00,light
2025-02-15 01:43:00,light
2025-02-15 01:43:00,light
2025-02-15 01:44:00,light
2025-02-15 01:44:00,light
2025-02-15 01:45:00,light
2025-02-15 01:45:00,light
2025-02-15 01:46:00,light
2025-02-15 01:46:00,light
2025-02-15 01:47:00,light
2025-02-15 01:47:00,light
2025-02-15 01:48:00,light
2025-02-15 01:48:00,light
2025-02-15 01:49:00,light
2025-02-15 01:49:00,light
2025-02-15 01:50:00,light
2025-02-15 01:50:00,light
2025-02-15 01:51:00,light
2025-02-15 01:51:00,light
2025-02-15 01:52:00,light
2025-02-15 01:52:00,light
2025-02-15 01:53:00,light
2025-02-15 01:53:00,light
2025-02-15 01:54:00,light
2025-02-15 01:54:00,light
2025-02-15 01:55:00,light
2025-02-15 01:55:00,light
2025-02-15 01:56:00,light
2025-02-15 01:56:00,light
2025-02-15 01:57:00,light
2025-02-15 01:57:00,light
2025-02-15 01:58:00,light
2025-02-15 01:58:00,light
2025-02-15 01:59:00,light
2025-02-15 01:59:00,light
2025-02-15 02:00:00,light
2025-02-15 02:00:00,light
2025-02-15 02:01:00,light
2025-02-15 02:01:00,light
2025-02-15 02:02:00,light
2025-02-15 02:02:00,light
2025-02-15 02:03:00,light
2025-02-15 02:03:00,light
2025-02-15 02:04:00,light
2025-02-15 02:04:00,light
2025-02-15 02:05:00,light
2025-02-15 02:05:00,light
2025-02-15 02:06:00,light
2025-02-15 02:06:00,light
2025-02-15 02:07:00,light
2025-02-15 02:07:00,light
2025-02-15 02:08:00,light
2025-02-15 02:08:00,light
2025-02-15 02:09:00,light
2025-02-15 02:09:00,light
2025-02-15 02:10:00,light
2025-02-15 02:10:00,light
2025-02-15 02:11:00,light
2025-02-15 02:11:00,light
2025-02-15 02:12:00,light
2025-02-15 02:12:00,light
2025-02-15 02:13:00,light
2025-02-15 02:13:00,light
2025-02-15 02:14:00,light
2025-02-15 02:14:00,light
2025-02-15 02:15:00,light
2025-02-15 02:15:00,light
2025-02-15 02:16:00,light
2025-02-15 02:16:00,light
2025-02-15 02:17:30,rem
2025-02-15 02:17:30,rem
2025-02-15 02:18:30,rem
2025-02-15 02:18:30,rem
2025-02-15 02:19:30,rem
2025-02-15 02:19:30,rem
2025-02-15 02:20:30,rem
2025-02-15 02:20:30,rem
2025-02-15 02:21:30,rem
2025-02-15 02:21:30,rem
2025-02-15 02:22:30,rem
2025-02-15 02:22:30,rem
2025-02-15 02:23:30,rem
2025-02-15 02:23:30,rem
2025-02-15 02:24:30,rem
2025-02-15 02:24:30,rem
2025-02-15 02:25:30,rem
2025-02-15 02:25:30,rem
2025-02-15 02:26:30,rem
2025-02-15 02:26:30,rem
2025-02-15 02:27:30,rem
2025-02-15 02:27:30,rem
2025-02-15 02:28:30,rem
2025-02-15 02:28:30,rem
2025-02-15 02:29:30,rem
2025-02-15 02:29:30,rem
2025-02-15 02:30:30,rem
2025-02-15 02:30:30,rem
2025-02-15 02:31:30,rem
2025-02-15 02:31:30,rem
2025-02-15 02:32:30,rem
2025-02-15 02:32:30,rem
2025-02-15 02:33:30,rem
2025-02-15 02:33:30,rem
2025-02-15 02:34:30,rem
2025-02-15 02:34:30,rem
2025-02-15 02:35:30,rem
2025-02-15 02:35:30,rem
2025-02-15 02:36:30,rem
2025-02-15 02:36:30,rem
2025-02-15 02:37:30,rem
2025-02-15 02:37:30,rem
2025-02-15 02:38:30,rem
2025-02-15 02:38:30,rem
2025-02-15 02:39:30,rem
2025-02-15 02:39:30,rem
2025-02-15 02:40:30,rem
2025-02-15 02:40:30,rem
2025-02-15 02:41:30,rem
2025-02-15 02:41:30,rem
2025-02-15 02:42:30,rem
2025-02-15 02:42:30,rem
2025-02-15 02:43:30,rem
2025-02-15 02:43:30,rem
2025-02-15 02:44:30,rem
2025-02-15 02:44:30,rem
2025-02-15 02:45:30,rem
2025-02-15 02:45:30,rem
2025-02-15 02:47:00,light
2025-02-15 02:47:00,light
2025-02-15 02:48:00,light
2025-02-15 02:48:00,light
2025-02-15 02:49:00,light
2025-02-15 02:49:00,light
2025-02-15 02:50:00,light
2025-02-15 02:50:00,light
2025-02-15 02:51:00,light
2025-02-15 02:51:00,light
2025-02-15 02:52:00,light
2025-02-15 02:52:00,light
2025-02-15 02:53:00,light
2025-02-15 02:53:00,light
2025-02-15 02:54:00,light
2025-02-15 02:54:00,light
2025-02-15 02:55:00,deep
2025-02-15 02:55:00,deep
2025-02-15 02:56:00,deep
2025-02-15 02:56:00,deep
2025-02-15 02:57:00,deep
2025-02-15 02:57:00,deep
2025-02-15 02:58:00,deep
2025-02-15 02:58:00,deep
2025-02-15 02:59:30,light
2025-02-15 02:59:30,light
2025-02-15 03:00:30,light
2025-02-15 03:00:30,light
2025-02-15 03:01:30,light
2025-02-15 03:01:30,light
2025-02-15 03:02:30,light
2025-02-15 03:02:30,light
2025-02-15 03:03:30,light
2025-02-15 03:03:30,light
2025-02-15 03:04:30,light
2025-02-15 03:04:30,light
2025-02-15 03:05:30,light
2025-02-15 03:05:30,light
2025-02-15 03:06:30,light
2025-02-15 03:06:30,light
2025-02-15 03:07:30,light
2025-02-15 03:07:30,light
2025-02-15 03:08:30,deep
2025-02-15 03:08:30,deep
2025-02-15 03:09:30,deep
2025-02-15 03:09:30,deep
2025-02-15 03:10:30,deep
2025-02-15 03:10:30,deep
2025-02-15 03:11:30,deep
2025-02-15 03:11:30,deep
2025-02-15 03:12:30,deep
2025-02-15 03:12:30,deep
2025-02-15 03:13:30,deep
2025-02-15 03:13:30,deep
2025-02-15 03:14:30,deep
2025-02-15 03:14:30,deep
2025-02-15 03:15:30,deep
2025-02-15 03:15:30,deep
2025-02-15 03:16:30,deep
2025-02-15 03:16:30,deep
2025-02-15 03:17:30,deep
2025-02-15 03:17:30,deep
2025-02-15 03:18:30,deep
2025-02-15 03:18:30,deep
2025-02-15 03:19:30,deep
2025-02-15 03:19:30,deep
2025-02-15 03:20:30,deep
2025-02-15 03:20:30,deep
2025-02-15 03:21:30,deep
2025-02-15 03:21:30,deep
2025-02-15 03:22:30,deep
2025-02-15 03:22:30,deep
2025-02-15 03:23:30,deep
2025-02-15 03:23:30,deep
2025-02-15 03:24:30,deep
